Boutique,"ID",Piece,Room,Nom,Name,L,P,H,Description,taille,tags,couleur_ossature,porte (O/N),fond,joue1,joue2,socle,dessus,# tiroir,hauteur_tiroir,# tablette,Options
O,001,Chambre,Bedroom,Table Chevet,Bedside table,300,300,500,,#petite,,brut,N,N,N,N,N,O,1,,1,
O,002,Chambre,Bedroom,Table Chevet,,350,350,500,,#moyenne,,brut,N,N,N,N,N,O,1,,1,
O,003,Chambre,Bedroom,Table Chevet,,400,400,600,,#grande,,brut,N,N,N,N,N,O,2,,1,
O,004,Chambre,Bedroom,Commode,Chest of drawers,500,350,800,,#petite,,brut,N,N,N,N,O,O,2,,1,
O,005,Chambre,Bedroom,Commode,,600,400,850,,#moyenne,,brut,N,N,N,N,O,O,2,,1,
,006,Chambre,Bedroom,Commode,,800,400,900,,#grande,,brut,N,N,N,N,O,O,2,,2,
O,007,Chambre,Bedroom,Dressing,Wardrobe,600,400,1800,,#petite,,brut,N,N,O,O,N,N,2,,4,
O,008,Chambre,Bedroom,Dressing,,800,450,1900,,#moyenne,,brut,N,N,O,O,N,N,2,,4,
O,009,Chambre,Bedroom,Dressing,,1200,500,2000,,#grande,,brut,N,N,O,O,N,N,2,,4,
O,010,Chambre,Bedroom,Coffre,Chest,600,400,400,,,,,,,,,,O,0,,0,
,011,,,Lit,Bed,,,,,,,,,,,,,,,,,
,012,Couloir / entrée,Hall / entry,Servante,Sideboard,,,,,,,,,,,,,,,,,
,013,,,Bibliothèque,Bookcase,,,,,,,,,,,,,,,,,
,014,,,Banc,Bench,,,,,,,,,,,,,,,,,
,015,Bureau,Study,Bureau,Desk,,,,,,,,,,,,,,,,,
,016,,,Etagère,Shelving,,,,,,,,,,,,,,,,,
,017,,,Bureau intégré,Build-in desk,,,,,,,,,,,,,,,,,
O,018,Salon,Living room,Table basse,Coffee table,,,,,,,,,,,,,,,,,
,019,,,Buffet,Sideboard,,,,,,,,,,,,,,,,,
,020,,,Siège,Seat,,,,,,,,,,,,,,,,,
,021,,,Chaise haute,High chair,,,,,,,,,,,,,,,,,
,022,,,Armoire,Cupboard,,,,,,,,,,,,,,,,,
,023,,,Table,Table,,,,,,,,,,,,,,,,,
,024,,,Banc,,,,,,,,,,,,,,,,,,
O,025,Cuisine,Kitchen,Meuble bas,Base unit,600,450,900,,,,brut,O,O,O,O,O,O,3,240,0,
,026,,,Meuble haut,Wall unit,,,,,,,,,,,,,,,,,
,027,,,Cave à vins,Wine cabinet,,,,,,,,,,,,,,,,,
,028,,,Servante,,,,,,,,,,,,,,,,,,
,029,,,Organisation hexagonale,Hexagonal organiser,,,,,,,,,,,,,,,,,
,030,,,Organisation Cadre,Frame organiser,,,,,,,,,,,,,,,,,
,031,,,Bar,Bar,,,,,,,,,,,,,,,,,
,032,Extérieur,Outdoor,Coffre,,,,,,,,,,,,,,,,,,
,033,,,Assise,Seat,,,,,,,,,,,,,,,,,
,034,,,Banc,,,,,,,,,,,,,,,,,,
,035,,,Servante,,,,,,,,,,,,,,,,,,
,036,,,Chaise haute,,,,,,,,,,,,,,,,,,
,037,Buanderie,Laundry,Meuble technique,Utility cainet,,,,,,,,,,,,,,,,,
,038,,,Plan de travail,Worktop,,,,,,,,,,,,,,,,,
,039,Salle de bain,Bathroom,Meuble vasque,Vanity unit,,,,,,,,,,,,,,,,,
,040,,,Meuble haut,,,,,,,,,,,,,,,,,,
,041,Restaurant,Restaurant,Table,,,,,,,,,,,,,,,,,,
,042,,,Chaise empillabe,Stackable chair,,,,,,,,,,,,,,,,,
,043,Célier,Pantry,Etagere,,,,,,,,,,,,,,,,,,
,044,,,Plan de travail,,,,,,,,,,,,,,,,,,
,045,WC,WC,PQ,Toilet-toll holder,,,,,,,,,,,,,,,,,
,046,,,Lave-main,Washbasin,,,,,,,,,,,,,,,,,
,047,Autres,Other,Cube,Cube,,,,,,,,,,,,,,,,,
,048,,,Installation artistique,Art installation,,,,,,,,,,,,,,,,,
,049,,,,,,,,,,,,,,,,,,,,,
,050,,,,,,,,,,,,,,,,,,,,,
,051,,,,,,,,,,,,,,,,,,,,,
,052,,,,,,,,,,,,,,,,,,,,,
,053,,,,,,,,,,,,,,,,,,,,,
,054,,,,,,,,,,,,,,,,,,,,,
,055,,,,,,,,,,,,,,,,,,,,,
,056,,,,,,,,,,,,,,,,,,,,,
,057,,,,,,,,,,,,,,,,,,,,,
,058,,,,,,,,,,,,,,,,,,,,,
,059,,,,,,,,,,,,,,,,,,,,,
,060,,,,,,,,,,,,,,,,,,,,,
,061,,,,,,,,,,,,,,,,,,,,,
,062,,,,,,,,,,,,,,,,,,,,,
,063,,,,,,,,,,,,,,,,,,,,,
,064,,,,,,,,,,,,,,,,,,,,,
,065,,,,,,,,,,,,,,,,,,,,,
,066,,,,,,,,,,,,,,,,,,,,,
,067,,,,,,,,,,,,,,,,,,,,,
,068,,,,,,,,,,,,,,,,,,,,,
,069,,,,,,,,,,,,,,,,,,,,,
,070,,,,,,,,,,,,,,,,,,,,,
,071,,,,,,,,,,,,,,,,,,,,,
,072,,,,,,,,,,,,,,,,,,,,,
,073,,,,,,,,,,,,,,,,,,,,,
,074,,,,,,,,,,,,,,,,,,,,,
,075,,,,,,,,,,,,,,,,,,,,,
